Workshop,Kategorie,Datum,Land,Location,Pole Studio,URL_E,Art,Level,Beschreibung,Trainer,Uhrzeit,Preis,Einheiten
Workshop: Aerial Silk Basic,Aerial Silk,"Mittwoch, 19. Februar 2025",,Gesamtticket,FlyHigh Aerial Fitness,https://www.eversports.de/e/workshop/A0Urp47,Workshop,,"Möchtest du die Welt der Luftakrobatik ausprobieren und dich leicht und elegant in der Luft bewegen? Dann ist dieser Workshop genau das Richtige für dich! In unserem Aerial Silk Workshop für Anfänger:innen lernst du die Grundlagen des Trainings im Silk kennen – von einfachen Griffen und Bewegungen bis hin zu ersten Figuren und Hängemöglichkeiten. Du brauchst keine Vorkenntnisse, nur Lust auf etwas Neues und Spaß an der Bewegung. Was dich erwartet: Das Besondere:Wenn dir der Workshop gefällt und du im Anschluss direkt den Aerial Silk Basic-Kurs buchst, erhältst du 10 € Rabatt auf die Kursgebühr.",,19:00 - 20:00,"ab 29,00 €",1 Einheit
Workshop: Aerial Sling Basic,Aerial Sling,"Dienstag, 25. Februar 2025",,Gesamtticket,FlyHigh Aerial Fitness,https://www.eversports.de/e/workshop/0COMmPB,Workshop,,"Möchtest du die Welt der Luftakrobatik ausprobieren und dich leicht und elegant in der Luft bewegen? Dann ist dieser Workshop genau das Richtige für dich! In unserem Aerial Sling Workshop für Anfänger:innen lernst du die Grundlagen des Trainings im Sling kennen – von einfachen Griffen und Bewegungen bis hin zu ersten Figuren und Hängemöglichkeiten. Du brauchst keine Vorkenntnisse, nur Lust auf etwas Neues und Spaß an der Bewegung. Was dich erwartet: Das Besondere:Wenn dir der Workshop gefällt und du im Anschluss direkt den Aerial Sling Basic-Kurs buchst, erhältst du 10 € Rabatt auf die Kursgebühr.",,17:45 - 18:45,"ab 29,00 €",1 Einheit
Contortion Intensive Workshop,Kontorsion,"Sonntag, 23. Februar 2025",,"Prenzlauer Promenade 189, 13189 Berlin",IMA Intentional Movement Academy,https://www.eversports.de/e/workshop/LRV7ITw,Workshop,,"Buchung über unsere Webseite unter Workshops: https://ima-studio.de/workshops-retreats/ In diesem intensiven dreistündigen Workshop arbeiten wir an Kraftaufbau, Dehnung und Balance für Kontorsion, um Deine Flexibility-Skills zu verbessern und zu verfestigen. Egal, ob Du mit Deinem Kontorsionstraining noch am Anfang stehst oder bereits fortgeschritten bist – Rosa wird individuell auf Dein Level eingehen und Dich gezielt fördern. Der Workshop richtet sich an alle, die bereits Erfahrungen mit Kontorsionstraining haben. Du solltest eine gute Brücke und Unterarmbrücke halten können und beim Frontspagat nicht weiter als einen Yogablock vom Boden entfernt sein. Der Workshop ist in zwei Teile gegliedert: Dieser Workshop bietet Dir die Möglichkeit, gezielt an Deiner Technik zu arbeiten und neue Bewegungsmöglichkeiten für Deinen Körper zu entdecken.  Teilnahmevoraussetzungen: Saubere Brücke mit Schultern über den Handgelenken; Unterarmbrücke; Frontspagat nicht mehr als 1 Yogablock vom Boden entfernt Unterrichtssprache: DE/ EN Mitbringen: enganliegende Sportkleidung, die den Rücken warm hält, etwas zum Trinken Preis: Early Bird bis 2.2. 50 €/ danach 60 € Buchung über https://ima-studio.de/workshops-retreats/ Bei Fragen zu den Voraussetzungen, schreib uns einfach über hello@ima-studio.de!",,14:30 - 17:30,"ab 50,00 €",1 Einheit
Walk-In Pole,Poledance,"Begann am Donnerstag, 9. Januar 2025",,"Ticket für Mi. 26.02.2025, 19:00 - 20:00",InfinityArts,https://www.eversports.de/e/workshop/6xqarn5,Workshop,,"Walk-In (Schnupperstunde) Du bist dir unsicher, ob dir dieser zauberhafte Sport gefällt? Dann bist du hier genau richtig.  Ganz unverbindlich kannst du hier deine ersten Schritte an und mit der Pole machen und testen ob du dir weitere Stunden vorstellen könntest. Pole Dance ist eine kreative und anspruchsvolle Tanzform, bei der man an einer vertikalen Stange verschiedene akrobatische Bewegungen ausführt. Es ist eine großartige Möglichkeit, neue Leute kennenzulernen und in die Welt des Pole Dance hineinzuschnuppern. Die ersten Schritte können herausfordernd sein, aber mit der Zeit und Übung wirst du dich verbessern und deine Leidenschaft für diese Kunst- & Sportart entdecken. Es ist auch eine fantastische Möglichkeit, deinen Körper auf eine neue Art und Weise zu entdecken und Spaß dabei zu haben. Die ersten Schritte an und mit der Pole und lege die Grundlage für eine großartige Zukunft in unserer Pole-Family. Wir freuen uns auf DICH!",,"Am Illerdamm 1, 87527 Sonthofen","ab 19,00 €",5 Einheiten
Susanne Kahl: Act Creation and Performance Technique (a workshop series) - SESSION 3 CREATION,Aerial Silk,"Sonntag, 26. Januar 2025",,Reduced ticket (valid after you have already taken at least one session previously),Munich Circus Arts,https://www.eversports.de/e/workshop/ZgfPI-C,Workshop,,"This workshop series is for you if you  The idea behind this workshop series is that I want to give you an in-depth insight into my method of act creation. The working material and ideas for this I have collected over many years of performing as a professional aerialist in all sorts of different settings and so “just one workshop” or even a workshop weekend feels like too little time to bring it all across.   I understand however, that, for whatever reason, it might not be for you to commit to taking part in the entire series so I please find below the questions that I aim to answer within each workshop session. Of course it is possible to take part in just one or however many workshops you like. We will work on different techniques in every workshop so they can all be taken as stand-alone workshop if you like. For anyone returning to take another workshop within this series there will be a 20% discount on each workshop following the first. If you take all six workshops the sixth will hence be for free.  If you commit to the entire series my goal is to have you finish it with a near-performance ready act since we will be using and forming your own material throughout the series.  Prerequistes:  Workshop Schedule:  Session 1 RESEARCH 12.01.2025 How do you find the “right” material for your act? How do you make tricks/sequences “your own”? What are your strengths and weaknesses?  Session 2 RESEARCH 19.01.2025 How can you change your material to fit different purposes? How do you integrate a character? How do you interact with your prop?  Session 3 CREATION 26.01.2025 How do you find/create transitions between tricks/sequences? How do you create a flow to your movements?  Session 4 CREATION 02.02.2025 How do you tell a story in the air? How do you interact with other performers?  Session 5 PERFORMANCE TECHNIQUE 16.02.2025 How do you stage an act? What are lighting options? How do you interact with the audience?  Session 6 PERFORMANCE TECHNIQUE 23.02.2025 How do you work with an outside eye? How do you integrate feedback by peers? How do you form an existing act? ",,17:00 - 19:00,"ab 32,00 €",1 Einheit
Susanne Kahl: Act Creation and Performance Technique (a workshop series) - SESSION 4 CREATION,Aerial Silk,"Sonntag, 2. Februar 2025",,Reduced ticket (valid after you have already taken at least one session previously),Munich Circus Arts,https://www.eversports.de/e/workshop/lBMObEt,Workshop,,"This workshop series is for you if you  The idea behind this workshop series is that I want to give you an in-depth insight into my method of act creation. The working material and ideas for this I have collected over many years of performing as a professional aerialist in all sorts of different settings and so “just one workshop” or even a workshop weekend feels like too little time to bring it all across.   I understand however, that, for whatever reason, it might not be for you to commit to taking part in the entire series so I please find below the questions that I aim to answer within each workshop session. Of course it is possible to take part in just one or however many workshops you like. We will work on different techniques in every workshop so they can all be taken as stand-alone workshop if you like. For anyone returning to take another workshop within this series there will be a 20% discount on each workshop following the first. If you take all six workshops the sixth will hence be for free.  If you commit to the entire series my goal is to have you finish it with a near-performance ready act since we will be using and forming your own material throughout the series.  Prerequistes:  Workshop Schedule:  Session 1 RESEARCH 12.01.2025 How do you find the “right” material for your act? How do you make tricks/sequences “your own”? What are your strengths and weaknesses?  Session 2 RESEARCH 19.01.2025 How can you change your material to fit different purposes? How do you integrate a character? How do you interact with your prop?  Session 3 CREATION 26.01.2025 How do you find/create transitions between tricks/sequences? How do you create a flow to your movements?  Session 4 CREATION 02.02.2025 How do you tell a story in the air? How do you interact with other performers?  Session 5 PERFORMANCE TECHNIQUE 16.02.2025 How do you stage an act? What are lighting options? How do you interact with the audience?  Session 6 PERFORMANCE TECHNIQUE 23.02.2025 How do you work with an outside eye? How do you integrate feedback by peers? How do you form an existing act? ",,17:00 - 19:00,"ab 32,00 €",1 Einheit
Susanne Kahl: Act Creation and Performance Technique (a workshop series) - SESSION 5 PERFORMANCE TECHNIQUE,Aerial Silk,"Sonntag, 16. Februar 2025",,Reduced ticket (valid after you have already taken at least one session previously),Munich Circus Arts,https://www.eversports.de/e/workshop/MnaL2Om,Workshop,,"This workshop series is for you if you  The idea behind this workshop series is that I want to give you an in-depth insight into my method of act creation. The working material and ideas for this I have collected over many years of performing as a professional aerialist in all sorts of different settings and so “just one workshop” or even a workshop weekend feels like too little time to bring it all across.   I understand however, that, for whatever reason, it might not be for you to commit to taking part in the entire series so I please find below the questions that I aim to answer within each workshop session. Of course it is possible to take part in just one or however many workshops you like. We will work on different techniques in every workshop so they can all be taken as stand-alone workshop if you like. For anyone returning to take another workshop within this series there will be a 20% discount on each workshop following the first. If you take all six workshops the sixth will hence be for free.  If you commit to the entire series my goal is to have you finish it with a near-performance ready act since we will be using and forming your own material throughout the series.  Prerequistes:  Workshop Schedule:  Session 1 RESEARCH 12.01.2025 How do you find the “right” material for your act? How do you make tricks/sequences “your own”? What are your strengths and weaknesses?  Session 2 RESEARCH 19.01.2025 How can you change your material to fit different purposes? How do you integrate a character? How do you interact with your prop?  Session 3 CREATION 26.01.2025 How do you find/create transitions between tricks/sequences? How do you create a flow to your movements?  Session 4 CREATION 02.02.2025 How do you tell a story in the air? How do you interact with other performers?  Session 5 PERFORMANCE TECHNIQUE 16.02.2025 How do you stage an act? What are lighting options? How do you interact with the audience?  Session 6 PERFORMANCE TECHNIQUE 23.02.2025 How do you work with an outside eye? How do you integrate feedback by peers? How do you form an existing act? ",,17:00 - 19:00,"ab 32,00 €",1 Einheit
Susanne Kahl: Act Creation and Performance Technique (a workshop series) - SESSION 6 PERFORMANCE TECHNIQUE,Aerial Silk,"Sonntag, 23. Februar 2025",,Reduced ticket (valid after you have already taken at least one session previously),Munich Circus Arts,https://www.eversports.de/e/workshop/vUDXOXo,Workshop,,"This workshop series is for you if you  The idea behind this workshop series is that I want to give you an in-depth insight into my method of act creation. The working material and ideas for this I have collected over many years of performing as a professional aerialist in all sorts of different settings and so “just one workshop” or even a workshop weekend feels like too little time to bring it all across.   I understand however, that, for whatever reason, it might not be for you to commit to taking part in the entire series so I please find below the questions that I aim to answer within each workshop session. Of course it is possible to take part in just one or however many workshops you like. We will work on different techniques in every workshop so they can all be taken as stand-alone workshop if you like. For anyone returning to take another workshop within this series there will be a 20% discount on each workshop following the first. If you take all six workshops the sixth will hence be for free.  If you commit to the entire series my goal is to have you finish it with a near-performance ready act since we will be using and forming your own material throughout the series.  Prerequistes:  Workshop Schedule:  Session 1 RESEARCH 12.01.2025 How do you find the “right” material for your act? How do you make tricks/sequences “your own”? What are your strengths and weaknesses?  Session 2 RESEARCH 19.01.2025 How can you change your material to fit different purposes? How do you integrate a character? How do you interact with your prop?  Session 3 CREATION 26.01.2025 How do you find/create transitions between tricks/sequences? How do you create a flow to your movements?  Session 4 CREATION 02.02.2025 How do you tell a story in the air? How do you interact with other performers?  Session 5 PERFORMANCE TECHNIQUE 16.02.2025 How do you stage an act? What are lighting options? How do you interact with the audience?  Session 6 PERFORMANCE TECHNIQUE 23.02.2025 How do you work with an outside eye? How do you integrate feedback by peers? How do you form an existing act? ",,17:00 - 19:00,"ab 32,00 €",1 Einheit
Sensual Floorwork Flow (mixed level),Tanzen,"Samstag, 1. Februar 2025",,"Mendelssohnstraße 15B, 22761 Hamburg",Nordpole,https://www.eversports.de/e/workshop/jSpDkN9,Workshop,,"Let's get on the floor and feel sensual. In diesem Workshop liegt der Fokus darauf, eine sinnliche und fließende Choreografie mit Floorwork-Elementen zu lernen. In den 90 Minuten habt ihr genügend Zeit auf die Techniken hinter den Bewegungen zu gehen und so deinen Tanz noch weicher und müheloser erscheinen zu lassen. Für diesen Kurs sind Knieschoner erforderlich und High Heels herzlich willkommen.",,14:45 - 16:15,"ab 27,00 €",1 Einheit
Heels Pole - Old School Style (mixed level),Poledance,"Samstag, 22. Februar 2025",,"Mendelssohnstraße 15B, 22761 Hamburg",Nordpole,https://www.eversports.de/e/workshop/8uZ1rDL,Workshop,,"Old School Style workshop where you gonna learn to slow down, enjoy our own way of sensuality and make the movements bigger, spice them up and learn the technique of edgework. This workshop is suitable for both pre-intermediate students and experienced dancers who want to broaden their horizons and try something new. Knee Pads required, Heel Sandales are a must have as we need our ankles more flexible . Mixed level - a bit of Pole / Heels knowledge would be perfect to fully enjoy the workshop.",,13:30 - 15:00,"ab 40,00 €",1 Einheit
Heels Pole Flow Choreo (Intermediate),Poledance,"Samstag, 22. Februar 2025",,"Mendelssohnstraße 15B, 22761 Hamburg",Nordpole,https://www.eversports.de/e/workshop/ufEuzld,Workshop,,In this workshop we will focus on flow connection between fast and slow movements and we gonna add some smooth transitions with easy and more difficult options. For this workshop you should have heels pole knowledge to fully enjoy and follow.   Knee Pads & Heels required.,,15:15 - 16:45,"ab 40,00 €",1 Einheit
Slink & Slice: Edgework Drills & Combos,Poledance,"Samstag, 8. März 2025",,"Mendelssohnstraße 15B, 22761 Hamburg",Nordpole,https://www.eversports.de/e/workshop/8Vo2Cd8,Workshop,,"Overwhelmed by edgework technique? Eager to enhance control and precision in your flow? In Slink & Slice, you will learn several drills and combos designed to help you harness the power of your heels as an expressive apparatus. Slink and slice through edgy transitions, master weight transfers with intention as you carve through space and conclude with a short freestyle section that aims at integrating your new-found safety into fluid intuitive movement. Level: Advanced heels beginners and up Best to bring: Sandals",,13:30 - 15:00,"ab 35,00 €",1 Einheit
Spinny Flexy Tricks & Combos (Intermediate),Poledance,"Samstag, 5. April 2025",,"Mendelssohnstraße 15B, 22761 Hamburg",Nordpole,https://www.eversports.de/e/workshop/983xdD7,Workshop,,"In diesem Workshop lernst du mit Natascha Flexy Tricks, Splits und Slit Variationen an der Spinny Pole. Gepaart mit fließenden Übergängen lernst du kleine Combos, die als Höhepunkt einen wunderschönen Pole-Split beinhalten. Auch wenn du noch nicht so flexibel sein solltest, gibt es wunderschöne Spagat Variationen und Fake Splits, auf die du aufbauen kannst. Für diesen Workshop solltest du sicher im Invert sein, gerne auch oben an der Pole, und ebenso sicher in deinen Leg Hooks (inside und outside) hängen.",,13:30 - 15:00,"ab 45,00 €",1 Einheit
